L1,L2,Max_Patch,MS_SSIM,LPIPS,Category,Label,Split,Filename
0.054785143584012985,0.01318361610174179,0.6005897521972656,0.8314700126647949,0.3831193745136261,toothbrush,0,Train,toothbrush_001.png
0.04836316406726837,0.010231925174593925,0.40324002504348755,0.8434185981750488,0.36539363861083984,toothbrush,0,Train,toothbrush_002.png
0.04784606024622917,0.009907705709338188,0.5253415703773499,0.8368417620658875,0.3871098458766937,toothbrush,0,Train,toothbrush_003.png
0.051602333784103394,0.011778144165873528,0.5245205760002136,0.8325356841087341,0.3854529559612274,toothbrush,0,Train,toothbrush_004.png
0.05116891860961914,0.011480415239930153,0.47254544496536255,0.8344695568084717,0.3871379792690277,toothbrush,0,Train,toothbrush_005.png
0.05357753857970238,0.013006603345274925,0.6083213090896606,0.8219617605209351,0.3859850764274597,toothbrush,0,Train,toothbrush_006.png
0.053979240357875824,0.012735816650092602,0.4120757281780243,0.8280839920043945,0.39073750376701355,toothbrush,0,Train,toothbrush_007.png
0.051137980073690414,0.010685852728784084,0.42170605063438416,0.8270589709281921,0.3849445581436157,toothbrush,0,Train,toothbrush_008.png
0.05272407457232475,0.011945521458983421,0.4418628215789795,0.8351373672485352,0.387538343667984,toothbrush,0,Train,toothbrush_009.png
0.05504825711250305,0.013352449052035809,0.5367285013198853,0.8148555755615234,0.3982415199279785,toothbrush,0,Train,toothbrush_010.png
0.04857560247182846,0.0101217832416296,0.46719086170196533,0.8356930613517761,0.38388893008232117,toothbrush,0,Train,toothbrush_011.png
0.052023641765117645,0.011863354593515396,0.45634573698043823,0.8301060199737549,0.37923747301101685,toothbrush,0,Train,toothbrush_012.png
0.0519065260887146,0.012241637334227562,0.5192904472351074,0.8352198600769043,0.38597121834754944,toothbrush,0,Train,toothbrush_013.png
0.05238672345876694,0.012090231291949749,0.44153130054473877,0.8294339179992676,0.37847980856895447,toothbrush,0,Train,toothbrush_014.png
0.0491519570350647,0.010630015283823013,0.47949373722076416,0.8369538187980652,0.38331207633018494,toothbrush,0,Train,toothbrush_015.png
