Category,Technique_Used,Strength,Guidance,L1,L2,MS_SSIM,LPIPS,Max_Patch,Label
bottle,Textual_Inversion,0.35,5.5,0.54654860496521,0.4266340732574463,0.20269672572612762,0.6053249835968018,1.0,1
bottle,Textual_Inversion,0.35,5.5,0.5326528549194336,0.41467759013175964,0.2152767777442932,0.6074988842010498,1.0,1
bottle,Textual_Inversion,0.35,5.5,0.5367861986160278,0.4162200689315796,0.21490076184272766,0.6120394468307495,1.0,1
bottle,Textual_Inversion,0.35,5.5,0.5270212888717651,0.4132835566997528,0.243076354265213,0.618056058883667,1.0,1
bottle,Textual_Inversion,0.35,5.5,0.5450567603111267,0.42450055480003357,0.20249012112617493,0.605765700340271,1.0,1
bottle,Textual_Inversion,0.35,5.5,0.548588216304779,0.42868882417678833,0.20221571624279022,0.6001368761062622,1.0,1
bottle,Textual_Inversion,0.35,5.5,0.5426058173179626,0.42373842000961304,0.21886925399303436,0.6083787679672241,1.0,1
bottle,Textual_Inversion,0.35,5.5,0.5449478626251221,0.4264509081840515,0.22458402812480927,0.6065670251846313,1.0,1
bottle,Textual_Inversion,0.35,5.5,0.5369133949279785,0.41784071922302246,0.21614661812782288,0.6067885160446167,1.0,1
bottle,Textual_Inversion,0.35,5.5,0.5404438972473145,0.4210861325263977,0.21851402521133423,0.6046419739723206,1.0,1
bottle,Textual_Inversion,0.35,5.5,0.5402773022651672,0.42205020785331726,0.21939250826835632,0.6078219413757324,1.0,1
bottle,Textual_Inversion,0.35,5.5,0.5394778251647949,0.42161282896995544,0.21026712656021118,0.603017270565033,1.0,1
bottle,Textual_Inversion,0.35,5.5,0.5501814484596252,0.4286573827266693,0.2100592851638794,0.6030898094177246,1.0,1
bottle,Textual_Inversion,0.35,5.5,0.5509132146835327,0.42906567454338074,0.20423075556755066,0.6054827570915222,1.0,1
bottle,Textual_Inversion,0.35,5.5,0.5404616594314575,0.41900038719177246,0.21055784821510315,0.606694757938385,1.0,1
bottle,Textual_Inversion,0.35,5.5,0.5371755957603455,0.4167114198207855,0.2127276360988617,0.6077843904495239,1.0,1
bottle,Textual_Inversion,0.35,5.5,0.5500236749649048,0.42974957823753357,0.20712941884994507,0.6058620810508728,1.0,1
bottle,Textual_Inversion,0.35,5.5,0.5428041219711304,0.4223255515098572,0.20616018772125244,0.6099494099617004,1.0,1
bottle,Textual_Inversion,0.35,5.5,0.5388362407684326,0.421956866979599,0.2103109210729599,0.6015000343322754,1.0,1
bottle,Textual_Inversion,0.35,5.5,0.5469503402709961,0.42582130432128906,0.20737025141716003,0.605992317199707,1.0,1
bottle,Textual_Inversion,0.35,5.5,0.5381957292556763,0.4191708266735077,0.20969806611537933,0.6024090647697449,1.0,1
bottle,Textual_Inversion,0.35,5.5,0.5442076921463013,0.4239969253540039,0.20358441770076752,0.6024751663208008,1.0,1
bottle,Textual_Inversion,0.35,5.5,0.5438714623451233,0.4224953055381775,0.19913749396800995,0.6009659767150879,1.0,1
bottle,Textual_Inversion,0.35,5.5,0.5490488409996033,0.4288705587387085,0.2025902271270752,0.600106954574585,1.0,1
bottle,Textual_Inversion,0.35,5.5,0.5482819080352783,0.42845386266708374,0.20482228696346283,0.6024319529533386,1.0,1
bottle,Textual_Inversion,0.35,5.5,0.5387576818466187,0.41908106207847595,0.20564648509025574,0.6049836874008179,1.0,1
bottle,Textual_Inversion,0.35,5.5,0.5417837500572205,0.42316707968711853,0.21118569374084473,0.6006829738616943,1.0,1
bottle,Textual_Inversion,0.35,5.5,0.5421728491783142,0.42170095443725586,0.20655511319637299,0.6046697497367859,1.0,1
bottle,Textual_Inversion,0.35,5.5,0.5359087586402893,0.4150509536266327,0.21142177283763885,0.6069207191467285,1.0,1
bottle,Textual_Inversion,0.35,5.5,0.539894700050354,0.4195912480354309,0.20750868320465088,0.60500168800354,1.0,1
bottle,Textual_Inversion,0.35,5.5,0.541597843170166,0.4236915111541748,0.2065429538488388,0.5997018814086914,1.0,1
bottle,Textual_Inversion,0.35,5.5,0.5400118827819824,0.42036813497543335,0.21068811416625977,0.603320300579071,1.0,1
bottle,Textual_Inversion,0.35,5.5,0.543531060218811,0.4253840446472168,0.2060999572277069,0.6029109358787537,1.0,1
bottle,Textual_Inversion,0.35,5.5,0.5414872169494629,0.42307132482528687,0.21587702631950378,0.602237343788147,1.0,1
bottle,Textual_Inversion,0.35,5.5,0.5368722677230835,0.4163399636745453,0.21174252033233643,0.6036941409111023,1.0,1
bottle,Textual_Inversion,0.35,5.5,0.534892737865448,0.4170423746109009,0.21174395084381104,0.6004951000213623,1.0,1
bottle,Textual_Inversion,0.35,5.5,0.5370903015136719,0.41738462448120117,0.2109638750553131,0.6045610308647156,1.0,1
bottle,Textual_Inversion,0.35,5.5,0.5485472083091736,0.42651045322418213,0.19974875450134277,0.6060689091682434,1.0,1
bottle,Textual_Inversion,0.35,5.5,0.5428913831710815,0.42369335889816284,0.20075708627700806,0.6037221550941467,1.0,1
bottle,Textual_Inversion,0.35,5.5,0.5341576337814331,0.4161214530467987,0.2175331711769104,0.6048597097396851,1.0,1
bottle,Textual_Inversion,0.35,5.5,0.5456461906433105,0.4246472120285034,0.20879928767681122,0.6082901954650879,1.0,1
bottle,Textual_Inversion,0.35,5.5,0.5469688773155212,0.4246167540550232,0.20346972346305847,0.6036953330039978,1.0,1
bottle,Textual_Inversion,0.35,5.5,0.5375263690948486,0.41762837767601013,0.20446692407131195,0.6041421890258789,1.0,1
bottle,Textual_Inversion,0.35,5.5,0.5400136709213257,0.41954049468040466,0.21211960911750793,0.6023366451263428,1.0,1
bottle,Textual_Inversion,0.35,5.5,0.5396345853805542,0.42180556058883667,0.21553349494934082,0.6022559404373169,1.0,1
bottle,Textual_Inversion,0.35,5.5,0.5389103889465332,0.42202672362327576,0.21814893186092377,0.6022500991821289,1.0,1
bottle,Textual_Inversion,0.35,5.5,0.5390710830688477,0.42188572883605957,0.20526954531669617,0.6023326516151428,1.0,1
bottle,Textual_Inversion,0.35,5.5,0.5568944215774536,0.4315027594566345,0.16060933470726013,0.6018208265304565,1.0,1
bottle,Textual_Inversion,0.35,5.5,0.5776088237762451,0.444387286901474,0.15993952751159668,0.5999993085861206,1.0,1
bottle,Textual_Inversion,0.35,5.5,0.540448784828186,0.419631689786911,0.19541244208812714,0.6121203899383545,1.0,1
bottle,Textual_Inversion,0.35,5.5,0.5363887548446655,0.41612133383750916,0.213096022605896,0.6061924695968628,1.0,1
bottle,Textual_Inversion,0.35,5.5,0.5355736017227173,0.4172147214412689,0.20246784389019012,0.6042531728744507,1.0,1
bottle,Textual_Inversion,0.35,5.5,0.5430033206939697,0.4239654541015625,0.19878873229026794,0.6010992527008057,1.0,1
bottle,Textual_Inversion,0.35,5.5,0.5510969161987305,0.42610272765159607,0.18094834685325623,0.6053507328033447,1.0,1
bottle,Textual_Inversion,0.35,5.5,0.5684181451797485,0.43711167573928833,0.19459930062294006,0.6059447526931763,1.0,1
bottle,Textual_Inversion,0.35,5.5,0.5326851606369019,0.41171130537986755,0.2173379510641098,0.6071714758872986,1.0,1
