L1,L2,Max_Patch,MS_SSIM,LPIPS,Image_Name,Category,Technique_Used,Strength,Guidance,Label,Split
0.02798721194267273,0.0015500084264203906,0.035915885120630264,0.8882149457931519,0.3458539545536041,pill_197.png,bottle,OFT_UNet,0.4,6.5,0,Train
0.023743759840726852,0.0015533333644270897,0.105567067861557,0.9325464963912964,0.12491130828857422,bottle_036.png,bottle,OFT_UNet,0.4,6.5,0,Train
0.029362110421061516,0.001515458687208593,0.040485281497240067,0.9111139178276062,0.32917097210884094,capsule_038.png,bottle,OFT_UNet,0.4,6.5,0,Train
0.028065994381904602,0.001584925688803196,0.02403678558766842,0.8740687370300293,0.32591867446899414,pill_250.png,bottle,OFT_UNet,0.4,6.5,0,Train
0.029989536851644516,0.001469162991270423,0.034172143787145615,0.9217201471328735,0.3095768392086029,capsule_200.png,bottle,OFT_UNet,0.4,6.5,0,Train
0.03739915043115616,0.003354828804731369,0.06617323309183121,0.859268844127655,0.3234477639198303,toothbrush_054.png,bottle,OFT_UNet,0.4,6.5,0,Train
0.026436012238264084,0.0013826903887093067,0.03171610087156296,0.8824429512023926,0.32733821868896484,pill_155.png,bottle,OFT_UNet,0.4,6.5,0,Train
0.028049662709236145,0.0015755932545289397,0.03695112466812134,0.8803566694259644,0.33137619495391846,pill_094.png,bottle,OFT_UNet,0.4,6.5,0,Train
0.02195943146944046,0.0012814177898690104,0.13397575914859772,0.9329878687858582,0.12524762749671936,bottle_113.png,bottle,OFT_UNet,0.4,6.5,0,Train
0.029114631935954094,0.001670118304900825,0.02905166521668434,0.8845927715301514,0.3093704581260681,pill_221.png,bottle,OFT_UNet,0.4,6.5,0,Train
0.03686322271823883,0.0032552655320614576,0.08018302172422409,0.8828598856925964,0.32075637578964233,toothbrush_025.png,bottle,OFT_UNet,0.4,6.5,0,Train
0.02814025804400444,0.0014577873516827822,0.02538452111184597,0.9036293029785156,0.3056783080101013,pill_231.png,bottle,OFT_UNet,0.4,6.5,0,Train
0.02833319827914238,0.0015633441507816315,0.029853183776140213,0.8714632987976074,0.3446462154388428,pill_030.png,bottle,OFT_UNet,0.4,6.5,0,Train
0.027670329436659813,0.0015181730268523097,0.06955058872699738,0.880269467830658,0.3217964470386505,pill_090.png,bottle,OFT_UNet,0.4,6.5,0,Train
0.030388541519641876,0.0015269722789525986,0.03901633620262146,0.9111545085906982,0.32357603311538696,capsule_176.png,bottle,OFT_UNet,0.4,6.5,0,Train
0.02952074073255062,0.0017095701768994331,0.028644148260354996,0.8777745962142944,0.33036476373672485,pill_262.png,bottle,OFT_UNet,0.4,6.5,0,Train
0.029817655682563782,0.0017530173063278198,0.0336776003241539,0.8696388006210327,0.3543522357940674,pill_190.png,bottle,OFT_UNet,0.4,6.5,0,Train
0.025365671142935753,0.0012515964917838573,0.027730846777558327,0.9090484976768494,0.3216807246208191,pill_053.png,bottle,OFT_UNet,0.4,6.5,0,Train
