L1,L2,MS_SSIM,LPIPS,Max_Patch,Category,Label,Split,Filename
0.020267905667424202,0.0012390254996716976,0.8949768543243408,0.3603696823120117,0.06338638067245483,pill,0,Train,pill_001.png
0.020260006189346313,0.0012358948588371277,0.8975841999053955,0.37416571378707886,0.08226686716079712,pill,0,Train,pill_002.png
0.01998148486018181,0.001328557962551713,0.8883942365646362,0.36197900772094727,0.08442039787769318,pill,0,Train,pill_003.png
0.023335274308919907,0.0015061324229463935,0.8956381678581238,0.364302396774292,0.08343326300382614,pill,0,Train,pill_004.png
0.0201412420719862,0.0013227579183876514,0.8851427435874939,0.36463019251823425,0.07916685938835144,pill,0,Train,pill_005.png
0.020946910604834557,0.0014368960401043296,0.8921050429344177,0.3660784065723419,0.09807171672582626,pill,0,Train,pill_006.png
0.0205262191593647,0.0012402350548654795,0.8846790194511414,0.37254467606544495,0.05946437641978264,pill,0,Train,pill_007.png
0.020796488970518112,0.0012866444885730743,0.8896487951278687,0.37107059359550476,0.06441714614629745,pill,0,Train,pill_008.png
0.020350297912955284,0.0012956904247403145,0.8771948218345642,0.3691781759262085,0.0874486044049263,pill,0,Train,pill_009.png
0.02026662603020668,0.0012614859733730555,0.8796956539154053,0.3689691424369812,0.06048480048775673,pill,0,Train,pill_010.png
0.0222922470420599,0.001292734988965094,0.8874529600143433,0.370205819606781,0.059120964258909225,pill,0,Train,pill_011.png
0.020393256098031998,0.0012570619583129883,0.8948684930801392,0.36861729621887207,0.09703061729669571,pill,0,Train,pill_012.png
0.021794188767671585,0.0016239382093772292,0.8822714686393738,0.3740241825580597,0.08133130520582199,pill,0,Train,pill_013.png
0.02002868801355362,0.0011914771748706698,0.8834793567657471,0.3630659580230713,0.09176229685544968,pill,0,Train,pill_014.png
0.021573057398200035,0.0014339080080389977,0.876064658164978,0.3680661618709564,0.09910908341407776,pill,0,Train,pill_015.png
0.0216718390583992,0.001320298295468092,0.8909473419189453,0.3747202754020691,0.07036255300045013,pill,0,Train,pill_016.png
0.021843835711479187,0.001386356307193637,0.8800930976867676,0.36431166529655457,0.09330020099878311,pill,0,Train,pill_017.png
0.020519426092505455,0.0012696132762357593,0.8801553249359131,0.37628820538520813,0.08023516833782196,pill,0,Train,pill_018.png
0.020504657179117203,0.0013104244135320187,0.8835441470146179,0.37775397300720215,0.09341423958539963,pill,0,Train,pill_019.png
0.020116515457630157,0.0011526201851665974,0.8815202713012695,0.3663445711135864,0.08701816201210022,pill,0,Train,pill_020.png
0.021760016679763794,0.0013880947371944785,0.8901318907737732,0.36974287033081055,0.08036277443170547,pill,0,Train,pill_021.png
